"","prices","beds","baths","sqft","zip","address"
"188",112900,2,3,2394," 54914","3182 Justin Ct APT 1, Appleton, WI 54914"
"189",312319,5,2,1447," 54914","W6121 Colonial Dr, Appleton, WI 54914"
"190",210000,3,1,656," 54911","1131 E Jardin St, Appleton, WI 54911"
"191",107000,2,2,1591," 54911","1709 N Helen St, Appleton, WI 54911"
"192",195000,3,1,1288," 54914","1023 W Lawrence St, Appleton, WI 54914"
"193",230000,3,3,1678," 54915","1012 S Midpark Dr, Appleton, WI 54915"
"194",245911,3,NA,NA," 54915","1013 S Midpark Dr, Appleton, WI 54915"
"195",147000,2,2,1070," 54914","3160 Justin Ct APT B, Appleton, WI 54914"
"196",265000,4,2,1779," 54914","1319 W Rogers Ave, Appleton, WI 54914"
"197",209000,4,2,1662," 54915","502 E Calumet St, Appleton, WI 54915"
"198",241000,3,2,1366," 54915","1032 S Joseph St, Appleton, WI 54915"
"199",206500,4,1,1776," 54914","519 N Summit St, Appleton, WI 54914"
"200",235000,4,1,1730," 54914","233 N Outagamie St, Appleton, WI 54914"
"201",572000,4,4,3794," 54913","225 E Timberline Dr, Appleton, WI 54913"
"202",355100,3,3,2029," 54913","519 Wayfarer Ct, Appleton, WI 54913"
"203",177500,1,1,875," 54914","400 Richmond St #340, Appleton, WI 54914"
"204",232000,3,2,2031," 54915","324 W Seymour St, Appleton, WI 54915"
"205",186000,3,2,1140," 54914","830 N Bennett St, Appleton, WI 54914"
"206",216000,2,1,1356," 54914","205 N Story St, Appleton, WI 54914"
"207",495000,4,2.2,3761," 54913","4925 N Waterford Dr, Appleton, WI 54913"
"208",270000,3,2,1794," 54915","5 Robincrest Ct, Appleton, WI 54915"
"209",174900,3,2,1013," 54911","838 E Franklin St, Appleton, WI 54911"
"210",238000,4,2,1839," 54911","1923 N Racine St, Appleton, WI 54911"
"211",247000,3,2,1500," 54914","1012 W Lindbergh St, Appleton, WI 54914"
"212",470000,6,5,3565," 54913","620 E Apple Creek Rd, Appleton, WI 54913"
